home_team,away_team,home_odds,draw_odds,away_odds,date,rating_diff
Bournemouth,Man Utd,7.8,5.9,1.42,2023-05-20,-333.3591454853039
Fulham,Crystal Palace,2.42,3.35,3.45,2023-05-20,60.774782956030215
Wolves,Everton,3.25,3.85,2.3,2023-05-20,-65.86113930709067
Nottm Forest,Arsenal,5.4,4.6,1.7,2023-05-20,-218.1936933805924
Brighton,Southampton,1.23,8.6,15.5,2023-05-21,469.64514893938673
West Ham,Leeds,2.76,3.7,2.7,2023-05-21,-4.120258164397503
Man City,Chelsea,1.64,4.3,6.2,2023-05-21,238.8627595232912
Newcastle,Leicester,1.35,6.2,10.0,2023-05-22,375.13423470757823
Brighton,Man City,3.95,4.2,1.96,2023-05-24,-136.65418215732564
Man Utd,Chelsea,1.58,4.5,6.8,2023-05-25,261.91535823396407
Everton,Bournemouth,1.64,4.6,5.8,2023-05-28,237.4053584239475
Arsenal,Wolves,1.34,6.8,10.5,2023-05-28,386.72445123296376
Aston Villa,Brighton,1.96,4.1,4.0,2023-05-28,137.40562877717161
Brentford,Man City,3.35,3.65,2.34,2023-05-28,-65.4554246879422
Southampton,Liverpool,6.2,5.3,1.56,2023-05-28,-269.4779912589207
Man Utd,Fulham,1.51,5.5,6.8,2023-05-28,291.88756734266286
Leicester,West Ham,2.14,4.2,3.45,2023-05-28,94.28023127908175
Chelsea,Newcastle,2.82,4.0,2.56,2023-05-28,-18.869868788560986
Crystal Palace,Nottm Forest,1.63,4.6,6.0,2023-05-28,242.25611606649994
Leeds,Tottenham,2.92,4.1,2.38,2023-05-28,-41.24749416189925
