home_team,away_team,home_odds,draw_odds,away_odds,date,rating_diff
Newcastle,Brentford,1.7,4.4,5.3,2022-10-08,214.74397493541224
West Ham,Fulham,1.67,4.2,6.2,2022-10-09,230.8463699951592
Arsenal,Liverpool,2.6,3.8,2.78,2022-10-09,12.890213471136907
Crystal Palace,Leeds,2.1,3.65,3.85,2022-10-09,110.25097135181872
Everton,Man Utd,3.85,3.65,2.12,2022-10-09,-107.76389267067208
Nottm Forest,Aston Villa,3.95,3.8,2.08,2022-10-10,-116.89759893525562
Brentford,Brighton,3.4,3.5,2.42,2022-10-14,-59.4286159199769
Tottenham,Everton,1.48,5.1,7.8,2022-10-15,305.05087830681265
Fulham,Bournemouth,2.0,3.8,4.2,2022-10-15,134.6338744620686
Wolves,Nottm Forest,1.79,4.1,5.4,2022-10-15,195.06534116061496
Leicester,Crystal Palace,2.54,3.65,3.0,2022-10-15,30.708528483824395
Aston Villa,Chelsea,4.2,3.55,2.08,2022-10-16,-121.80991657092845
Liverpool,Man City,4.1,4.3,1.91,2022-10-16,-149.59182647648336
Southampton,West Ham,3.05,3.4,2.64,2022-10-16,-25.233806266465688
Man Utd,Newcastle,2.12,3.7,3.85,2022-10-16,108.11146050277094
Leeds,Arsenal,5.4,4.3,1.72,2022-10-16,-210.98360085879972
Crystal Palace,Wolves,2.16,3.45,4.1,2022-10-18,108.69872678010287
Brighton,Nottm Forest,1.41,5.4,9.4,2022-10-18,340.8748189151144
Man Utd,Tottenham,2.36,3.75,3.25,2022-10-19,59.48426107172806
Newcastle,Everton,1.69,4.2,5.9,2022-10-19,223.00088656675982
Bournemouth,Southampton,2.8,3.35,2.98,2022-10-19,10.589231645814664
Brentford,Chelsea,4.5,3.85,1.94,2022-10-19,-151.02839809053708
Liverpool,West Ham,1.43,5.3,8.8,2022-10-19,329.7368335423919
Leicester,Leeds,2.4,3.7,3.2,2022-10-20,53.18659745463646
Fulham,Aston Villa,3.1,3.5,2.52,2022-10-20,-37.25636948634679
Man City,Brighton,1.23,7.4,17.5,2022-10-22,463.1854833398743
Nottm Forest,Liverpool,10.5,5.9,1.36,2022-10-22,-369.9331234887396
Everton,Crystal Palace,2.5,3.25,3.4,2022-10-22,51.57531362219398
Chelsea,Man Utd,2.16,3.7,3.7,2022-10-22,98.40591747007603
Aston Villa,Brentford,2.1,3.6,3.95,2022-10-23,112.88633101999243
Leeds,Fulham,2.12,3.85,3.65,2022-10-23,102.46209947182645
Southampton,Arsenal,7.8,5.1,1.47,2022-10-23,-308.23443076987786
Tottenham,Newcastle,2.36,3.55,3.45,2022-10-23,67.1943249160604
Wolves,Leicester,2.44,3.45,3.25,2022-10-23,51.017934119202856
West Ham,Bournemouth,1.65,4.1,6.6,2022-10-24,238.22038107795402
Brentford,Wolves,2.2,3.7,3.7,2022-10-29,93.77985494839055
Leicester,Man City,8.8,5.4,1.42,2022-10-29,-334.3476745491949
Liverpool,Leeds,1.24,8.6,14.0,2022-10-29,460.78228374866296
Bournemouth,Tottenham,5.4,4.1,1.78,2022-10-29,-196.9555607366427
Brighton,Chelsea,3.3,3.45,2.46,2022-10-29,-51.50479031734238
Crystal Palace,Southampton,2.12,3.55,4.2,2022-10-29,116.82896123289329
Newcastle,Aston Villa,1.78,4.0,5.5,2022-10-29,197.3430611699934
Fulham,Everton,2.32,3.55,3.5,2022-10-29,73.02568062158628
Arsenal,Nottm Forest,1.22,7.6,17.0,2022-10-30,470.2662525058836
Man Utd,West Ham,1.74,4.0,5.6,2022-10-30,206.49944079790797
Everton,Leicester,2.64,3.5,3.0,2022-11-05,22.74247730844056
Man City,Fulham,1.2,8.6,19.0,2022-11-05,493.68341248948497
Leeds,Bournemouth,1.64,4.5,5.9,2022-11-05,237.61183544697778
Wolves,Brighton,3.5,3.5,2.26,2022-11-05,-78.87583299855572
Nottm Forest,Brentford,2.8,3.35,2.98,2022-11-05,10.589231645814664
Chelsea,Arsenal,2.78,3.55,2.78,2022-11-06,-3.472884140161281e-08
Aston Villa,Man Utd,3.3,3.7,2.34,2022-11-06,-63.49231253395876
Tottenham,Liverpool,3.5,4.1,2.1,2022-11-06,-100.86272596557059
Southampton,Newcastle,4.6,4.0,1.87,2022-11-06,-165.78396617223126
West Ham,Crystal Palace,1.95,3.55,4.9,2022-11-06,154.57292601356897
Newcastle,Chelsea,2.22,3.5,3.7,2022-11-12,90.32739084392738
Wolves,Arsenal,7.6,4.4,1.56,2022-11-12,-272.31678277280116
West Ham,Leicester,2.02,3.65,4.2,2022-11-12,130.58895573794663
Tottenham,Leeds,1.65,4.6,5.9,2022-11-12,236.28383605339627
Nottm Forest,Crystal Palace,3.65,3.2,2.4,2022-11-12,-69.0959286363467
Liverpool,Southampton,1.29,7.0,12.5,2022-11-12,417.97579255622304
Bournemouth,Everton,2.92,3.35,2.76,2022-11-12,-9.795260686744005
Man City,Brentford,1.18,9.4,25.0,2022-11-12,518.703574742943
Brighton,Aston Villa,1.82,4.0,5.0,2022-11-13,182.13408011865286
Fulham,Man Utd,4.6,3.9,1.89,2022-11-13,-161.53805794320635
Arsenal,West Ham,1.6,4.4,6.8,2022-12-26,255.6432548880582
Crystal Palace,Fulham,2.3,3.6,3.35,2022-12-26,69.21745430191153
Brentford,Tottenham,3.5,3.75,2.24,2022-12-26,-82.35040759074745
Aston Villa,Liverpool,5.0,4.3,1.77,2022-12-26,-194.42371900782007
Everton,Wolves,2.64,3.3,3.05,2022-12-26,25.043441313098285
Southampton,Brighton,3.8,3.75,2.16,2022-12-26,-102.02602968853985
Leicester,Newcastle,3.6,3.65,2.26,2022-12-26,-83.41618457043879
Man Utd,Nottm Forest,1.4,5.5,9.6,2022-12-27,346.53145516706167
Chelsea,Bournemouth,1.38,5.5,10.0,2022-12-27,355.787742797918
Leeds,Man City,12.0,7.0,1.29,2022-12-28,-416.6225744001066
West Ham,Brentford,2.12,3.75,3.8,2022-12-30,106.87152549496068
Liverpool,Leicester,1.29,6.8,13.0,2022-12-30,417.43971264856657
Bournemouth,Crystal Palace,3.1,3.3,2.72,2022-12-31,-22.012612145290714
Newcastle,Leeds,1.5,4.9,7.8,2022-12-31,296.66164134989896
Man City,Everton,1.16,10.5,24.0,2022-12-31,540.4050850314458
Wolves,Man Utd,4.5,3.75,1.99,2022-12-31,-142.74007571027317
Fulham,Southampton,1.86,4.1,4.6,2022-12-31,168.39069365865774
Brighton,Arsenal,4.8,3.85,1.88,2022-12-31,-166.68548911464214
Nottm Forest,Chelsea,6.2,4.4,1.67,2023-01-01,-233.0740081762595
Tottenham,Aston Villa,1.65,4.5,5.8,2023-01-01,234.01208289555592
Brentford,Liverpool,6.8,4.8,1.56,2023-01-02,-270.5824832854772
Man Utd,Bournemouth,1.32,6.2,12.0,2023-01-03,394.94505391238357
Leicester,Fulham,2.4,3.7,3.15,2023-01-03,50.7675649841245
Arsenal,Newcastle,1.8,3.95,5.2,2023-01-03,188.58388848780874
Everton,Brighton,3.3,3.45,2.44,2023-01-03,-53.237036551045854
Leeds,West Ham,3.05,3.55,2.58,2023-01-04,-30.028576934748827
Southampton,Nottm Forest,2.44,3.35,3.35,2023-01-04,54.97459363010806
Crystal Palace,Tottenham,3.55,3.65,2.24,2023-01-04,-83.72101477155374
Aston Villa,Wolves,1.95,3.65,4.7,2023-01-04,151.8165965147053
Chelsea,Man City,5.6,4.1,1.72,2023-01-05,-211.6856397176461
Fulham,Chelsea,4.3,3.45,2.1,2023-01-12,-120.91996086966377
Aston Villa,Leeds,2.04,3.75,4.0,2023-01-13,123.28276522433731
Man Utd,Man City,4.2,4.2,1.92,2023-01-14,-149.89150672306465
Brentford,Bournemouth,1.64,4.2,6.6,2023-01-14,241.751618600111
Brighton,Liverpool,3.0,3.9,2.44,2023-01-14,-39.80328882414925
Everton,Southampton,2.5,3.35,3.3,2023-01-14,47.784201283715674
Wolves,West Ham,2.56,3.25,3.4,2023-01-14,46.82960437207036
Nottm Forest,Leicester,2.8,3.35,2.9,2023-01-14,6.0690315532126
Newcastle,Fulham,1.51,4.8,7.8,2023-01-15,292.53137899280426
Tottenham,Arsenal,3.4,3.55,2.36,2023-01-15,-65.17868703313088
Chelsea,Crystal Palace,1.94,3.65,4.8,2023-01-15,155.24638608588165
Crystal Palace,Man Utd,6.0,4.1,1.69,2023-01-18,-223.04696693055254
Man City,Tottenham,1.55,4.9,6.8,2023-01-19,274.39327583285757
Southampton,Aston Villa,2.76,3.25,3.0,2023-01-21,14.13564157097561
Leicester,Brighton,4.4,4.3,1.87,2023-01-21,-163.91769019872766
West Ham,Everton,1.87,3.75,5.2,2023-01-21,174.2533052473553
Crystal Palace,Newcastle,4.6,3.8,1.9,2023-01-21,-158.97296603531674
Bournemouth,Nottm Forest,2.88,3.3,2.78,2023-01-21,-6.144493954875652
Liverpool,Chelsea,2.1,3.6,4.0,2023-01-21,114.32318132914506
Arsenal,Man Utd,1.88,4.1,4.5,2023-01-22,162.8359894933718
Leeds,Brentford,2.42,3.65,3.15,2023-01-22,48.77480170954594
Man City,Wolves,1.3,6.6,13.0,2023-01-22,410.7200608921792
Fulham,Tottenham,3.55,3.85,2.18,2023-01-23,-91.56562396324938
Chelsea,Fulham,1.65,4.2,6.4,2023-02-03,237.4749508059142
Brentford,Southampton,1.82,3.85,5.1,2023-02-04,182.27909390067308
Man Utd,Crystal Palace,1.42,5.2,10.5,2023-02-04,339.4932535326448
Aston Villa,Leicester,2.16,3.55,3.95,2023-02-04,105.26600105742864
Everton,Arsenal,8.6,4.3,1.53,2023-02-04,-285.3281928372256
Wolves,Liverpool,4.1,3.9,2.02,2023-02-04,-129.95892049468526
Newcastle,West Ham,1.28,7.0,13.0,2023-02-04,424.2504215749076
Brighton,Bournemouth,1.43,5.2,8.6,2023-02-04,327.55293426683204
Nottm Forest,Leeds,2.94,3.55,2.66,2023-02-05,-18.007778933504596
Tottenham,Man City,4.1,4.0,1.95,2023-02-05,-140.97765328667322
Man Utd,Leeds,1.63,4.5,6.4,2023-02-08,245.5875946574566
Bournemouth,Newcastle,6.4,4.4,1.64,2023-02-11,-242.10490480613524
Fulham,Nottm Forest,2.0,3.6,4.5,2023-02-11,139.97205928207197
Crystal Palace,Brighton,5.5,3.9,1.78,2023-02-11,-196.24304867749134
West Ham,Chelsea,3.6,3.5,2.28,2023-02-11,-80.5002718662673
Leicester,Tottenham,3.75,3.85,2.1,2023-02-11,-108.4095240049238
Arsenal,Brentford,1.62,4.3,6.8,2023-02-11,249.53862177607633
Southampton,Wolves,3.35,3.3,2.54,2023-02-11,-46.51831498126512
Man City,Aston Villa,1.39,5.5,10.0,2023-02-12,351.95888402997565
Leeds,Man Utd,3.85,3.95,2.04,2023-02-12,-120.2471493941092
Liverpool,Everton,1.62,4.3,6.4,2023-02-14,245.72997229102583
Arsenal,Man City,3.45,3.6,2.34,2023-02-15,-69.34998089686587
Newcastle,Liverpool,2.64,3.65,2.86,2023-02-18,14.833818129178761
Chelsea,Southampton,1.45,5.0,8.8,2023-02-18,319.53284165359986
Everton,Leeds,2.8,3.3,2.92,2023-02-18,7.198095539577712
Nottm Forest,Man City,11.5,5.4,1.37,2023-02-18,-363.73424612490794
Wolves,Bournemouth,1.84,3.7,5.4,2023-02-18,181.7888580341003
Brentford,Crystal Palace,1.82,3.8,5.0,2023-02-18,180.04994318682796
Brighton,Fulham,1.6,4.6,6.6,2023-02-18,256.0604431194896
Man Utd,Leicester,1.59,4.6,6.4,2023-02-19,256.6330634189991
Tottenham,West Ham,1.95,3.6,4.8,2023-02-19,153.24813236571705
Fulham,Wolves,2.7,3.2,3.15,2023-02-24,25.613083499286155
Bournemouth,Man City,12.0,5.4,1.36,2023-02-25,-369.13562542485124
Crystal Palace,Liverpool,5.4,4.3,1.71,2023-02-25,-213.09209070913113
West Ham,Nottm Forest,1.7,4.1,5.9,2023-02-25,219.7196452273531
Everton,Aston Villa,2.66,3.3,3.15,2023-02-25,28.600228178430118
Leeds,Southampton,2.0,3.85,4.2,2023-02-25,135.03739327111694
Leicester,Arsenal,6.6,4.5,1.57,2023-02-25,-262.6893629905131
Tottenham,Chelsea,3.15,3.35,2.58,2023-02-26,-34.59975861355003
Liverpool,Wolves,1.54,4.8,6.8,2023-03-01,276.1197201577446
Arsenal,Everton,1.34,5.4,14.5,2023-03-01,382.96650845071184
Wolves,Tottenham,3.4,3.55,2.4,2023-03-04,-61.44637304389675
Brighton,West Ham,1.7,4.2,5.7,2023-03-04,218.32821882778333
Arsenal,Bournemouth,1.58,3.4,4.1,2023-03-04,206.00249621200274
Chelsea,Leeds,1.62,4.2,6.8,2023-03-04,248.3196916336202
Southampton,Leicester,3.0,3.5,2.62,2023-03-04,-24.21894292621807
Man City,Newcastle,1.53,4.6,7.8,2023-03-04,284.38474464468226
Nottm Forest,Everton,3.15,3.15,2.74,2023-03-05,-22.85042467200226
Liverpool,Man Utd,2.44,3.75,3.05,2023-03-05,42.15409473363437
Brentford,Fulham,2.14,3.7,3.9,2023-03-06,107.20299854063369
Everton,Brentford,2.76,3.1,3.1,2023-03-11,19.054625921732303
Crystal Palace,Man City,12.5,5.7,1.34,2023-03-11,-382.18650559307895
Tottenham,Nottm Forest,1.48,4.8,8.8,2023-03-11,307.51681902124966
Bournemouth,Liverpool,8.2,5.3,1.46,2023-03-11,-316.1934248754934
Leicester,Chelsea,4.1,3.9,2.0,2023-03-11,-132.79107624557517
Leeds,Brighton,4.5,3.85,1.92,2023-03-11,-154.1299222090425
West Ham,Aston Villa,2.44,3.4,3.35,2023-03-12,55.180109322368224
Man Utd,Southampton,1.27,7.4,12.5,2023-03-12,431.5866545841931
Newcastle,Wolves,1.67,4.2,6.6,2023-03-12,234.9186584723951
Fulham,Arsenal,8.4,5.4,1.43,2023-03-12,-328.6184009031235
Brighton,Crystal Palace,1.4,5.4,10.0,2023-03-15,347.1035054653685
Southampton,Brentford,3.4,3.45,2.4,2023-03-15,-61.01740880084501
Nottm Forest,Newcastle,5.7,3.75,1.79,2023-03-17,-195.34616099465748
Aston Villa,Bournemouth,1.79,4.1,5.0,2023-03-18,188.64932431895897
Chelsea,Everton,1.47,4.7,9.0,2023-03-18,310.41197457277053
Southampton,Tottenham,4.8,3.75,1.9,2023-03-18,-162.45166653782792
Brentford,Leicester,1.89,4.1,4.4,2023-03-18,158.89999795528058
Wolves,Leeds,2.36,3.4,3.55,2023-03-18,70.2842298677481
Arsenal,Crystal Palace,1.29,6.4,15.0,2023-03-19,417.69269100112484
Bournemouth,Fulham,2.7,3.4,3.0,2023-04-01,18.332545446099747
Nottm Forest,Wolves,3.55,3.3,2.42,2023-04-01,-64.3218492938742
